building_number,room,building_name,day_of_week,hour,has_schedule_class,actual_status
507,1,מ.ישראל,2,16,1,BUSY
905,62,חברה,2,8,0,FREE
905,62,חברה,2,10,1,BUSY
504,10,מ.ישראל,2,16,0,FREE
504,10,מ.ישראל,2,14,0,FREE
505,202,מ.ישראל,2,15,0,FREE
505,202,מ.ישראל,2,19,0,BUSY
1002,102,רוח,2,10,1,BUSY
1002,102,רוח,2,14,0,BUSY
410,226,יהדות,2,16,1,BUSY
410,226,יהדות,2,19,0,FREE
410,225,יהדות,2,14,1,BUSY
410,225,יהדות,2,13,0,FREE
1004,407,רוח,2,9,0,FREE
1004,407,רוח,2,13,0,BUSY
1004,402,רוח,2,11,1,FREE
1004,402,רוח,2,9,0,FREE
505,65,מ.ישראל,2,11,0,FREE
505,65,מ.ישראל,2,18,1,BUSY
505,204,מ.ישראל,2,9,0,BUSY
505,204,מ.ישראל,2,17,0,FREE
304,1,משפטים,2,11,1,BUSY
304,1,משפטים,2,13,1,BUSY
605,63,מ.ישראל,2,10,1,BUSY
605,63,מ.ישראל,2,14,1,FREE
305,10,משפטים,2,10,1,BUSY
305,10,משפטים,2,11,1,BUSY
304,61,משפטים,2,18,0,FREE
304,61,משפטים,2,17,0,FREE
604,202,מ.ישראל,2,18,0,FREE
604,202,מ.ישראל,2,9,0,FREE
211,25,nan,2,12,1,BUSY
211,25,nan,2,9,1,BUSY
304,25,משפטים,2,10,0,BUSY
304,25,משפטים,2,12,1,BUSY
1105,53,הנדסה,2,8,0,FREE
1105,53,הנדסה,2,16,1,BUSY
1401,53,nan,2,12,0,FREE
1401,53,nan,2,19,0,FREE
305,2,משפטים,2,10,0,BUSY
305,2,משפטים,2,17,0,FREE
305,4,משפטים,2,18,1,BUSY
305,4,משפטים,2,11,1,BUSY
502,23,מ.ישראל,2,16,0,FREE
502,23,מ.ישראל,2,12,0,FREE
503,1,מ.ישראל,2,15,0,FREE
503,1,מ.ישראל,2,19,0,FREE
404,113,יהדות,2,12,1,FREE
404,113,יהדות,2,9,0,FREE
404,201,יהדות,2,11,1,BUSY
404,201,יהדות,2,10,1,BUSY
505,203,מ.ישראל,2,9,1,BUSY
505,203,מ.ישראל,2,12,1,BUSY
1005,19,רוח,2,15,1,FREE
1005,19,רוח,2,16,1,FREE
1005,108,רוח,2,16,0,BUSY
1005,108,רוח,2,12,1,BUSY
1005,201,רוח,2,9,0,FREE
1005,201,רוח,2,17,1,BUSY
1005,209,רוח,2,14,0,FREE
1005,209,רוח,2,13,0,BUSY
1005,207,רוח,2,19,0,BUSY
1005,207,רוח,2,10,0,FREE
1005,203,רוח,2,16,0,FREE
1005,203,רוח,2,15,0,FREE
604,201,מ.ישראל,2,19,0,BUSY
604,201,מ.ישראל,2,8,0,FREE
305,105,משפטים,2,14,0,FREE
305,105,משפטים,2,10,0,FREE
507,37,מ.ישראל,2,12,0,FREE
507,37,מ.ישראל,2,16,0,BUSY
1104,42,הנדסה,2,16,1,BUSY
1104,42,הנדסה,2,18,1,BUSY
1105,42,הנדסה,2,19,0,FREE
1105,42,הנדסה,2,16,0,FREE
1103,22,הנדסה,2,8,0,FREE
1103,22,הנדסה,2,19,1,BUSY
902,9,חברה,2,18,1,BUSY
902,9,חברה,2,16,1,BUSY
304,9,משפטים,2,10,0,FREE
304,9,משפטים,2,16,0,FREE
1105,271,הנדסה,2,19,0,FREE
1105,271,הנדסה,2,18,1,BUSY
1104,271,הנדסה,2,14,0,BUSY
1104,271,הנדסה,2,18,0,BUSY
507,61,מ.ישראל,2,15,0,BUSY
507,61,מ.ישראל,2,17,0,FREE
213,304,טבע,2,17,1,BUSY
213,304,טבע,2,13,1,BUSY
213,320,טבע,2,16,0,FREE
213,320,טבע,2,15,0,BUSY
1004,203,רוח,2,16,1,BUSY
1004,203,רוח,2,18,1,BUSY
1004,212,רוח,2,9,0,FREE
1004,212,רוח,2,8,0,FREE
410,328,יהדות,2,12,1,BUSY
410,328,יהדות,2,9,0,FREE
410,332,יהדות,2,14,0,FREE
410,332,יהדות,2,8,0,FREE
604,204,מ.ישראל,2,8,0,FREE
604,204,מ.ישראל,2,18,0,FREE
1002,203,רוח,2,12,1,BUSY
1002,203,רוח,2,10,1,BUSY
202,301,טבע,2,8,0,BUSY
202,301,טבע,2,9,0,BUSY
203,4,טבע,2,17,0,BUSY
203,4,טבע,2,19,0,FREE
202,221,טבע,2,13,0,FREE
202,221,טבע,2,15,0,FREE
202,205,טבע,2,9,0,FREE
202,205,טבע,2,15,1,BUSY
202,304,טבע,2,19,0,FREE
202,304,טבע,2,16,0,FREE
202,505,טבע,2,8,0,BUSY
202,505,טבע,2,10,1,BUSY
202,203,טבע,2,13,0,FREE
202,203,טבע,2,15,0,FREE
202,303,טבע,2,15,1,BUSY
202,303,טבע,2,17,1,BUSY
202,201,טבע,2,15,0,FREE
202,201,טבע,2,13,0,BUSY
202,204,טבע,2,15,0,FREE
202,204,טבע,2,17,0,FREE
505,505,מ.ישראל,2,18,0,FREE
505,505,מ.ישראל,2,17,0,FREE
902,301,חברה,2,12,0,BUSY
902,301,חברה,2,8,1,BUSY
902,12,חברה,2,12,0,FREE
902,12,חברה,2,19,1,BUSY
902,107,חברה,2,16,1,FREE
902,107,חברה,2,10,0,FREE
905,217,חברה,2,17,1,BUSY
905,217,חברה,2,9,1,BUSY
902,217,חברה,2,19,0,FREE
902,217,חברה,2,9,0,FREE
902,110,חברה,2,13,1,BUSY
902,110,חברה,2,16,0,BUSY
902,109,חברה,2,16,0,FREE
902,109,חברה,2,10,0,FREE
507,23,מ.ישראל,2,19,0,FREE
507,23,מ.ישראל,2,12,0,FREE
1004,406,רוח,2,14,1,BUSY
1004,406,רוח,2,18,0,BUSY
1105,368,הנדסה,2,10,1,BUSY
1105,368,הנדסה,2,12,1,FREE
1102,2,הנדסה,2,16,1,BUSY
1102,2,הנדסה,2,13,1,BUSY
1104,244,הנדסה,2,15,1,BUSY
1104,244,הנדסה,2,13,1,BUSY
1104,249,הנדסה,2,18,1,BUSY
1104,249,הנדסה,2,11,1,FREE
1104,243,הנדסה,2,9,1,FREE
1104,243,הנדסה,2,17,1,BUSY
1103,42,הנדסה,2,15,0,BUSY
1103,42,הנדסה,2,12,0,FREE
1401,4,nan,2,9,0,FREE
1401,4,nan,2,11,1,FREE
1105,3,הנדסה,2,19,0,FREE
1105,3,הנדסה,2,17,0,FREE
1102,4,הנדסה,2,11,0,FREE
1102,4,הנדסה,2,18,0,FREE
A1300,2,מעונות,2,12,1,BUSY
A1300,2,מעונות,2,10,1,BUSY
A1300,1,מעונות,2,17,1,BUSY
A1300,1,מעונות,2,18,1,BUSY
901,4,חברה,2,11,0,FREE
901,4,חברה,2,17,0,BUSY
1103,223,הנדסה,2,18,0,FREE
1103,223,הנדסה,2,19,0,BUSY
1102,205,הנדסה,2,14,1,FREE
1102,205,הנדסה,2,11,0,FREE
1105,366,הנדסה,2,13,1,BUSY
1105,366,הנדסה,2,8,0,FREE
1104,344,הנדסה,2,8,0,FREE
1104,344,הנדסה,2,19,0,FREE
1104,347,הנדסה,2,10,0,BUSY
1104,347,הנדסה,2,16,0,FREE
1103,224,הנדסה,2,10,0,BUSY
1103,224,הנדסה,2,12,0,FREE
1002,112,רוח,2,11,0,FREE
1002,112,רוח,2,12,0,FREE
905,119,חברה,2,18,0,FREE
905,119,חברה,2,10,1,BUSY
905,118,חברה,2,19,0,FREE
905,118,חברה,2,18,0,BUSY
905,319,חברה,2,17,0,FREE
905,319,חברה,2,8,0,FREE
905,418,חברה,2,16,0,FREE
905,418,חברה,2,15,0,BUSY
905,416,חברה,2,9,0,FREE
905,416,חברה,2,11,1,BUSY
905,211,חברה,2,14,0,FREE
905,211,חברה,2,19,0,FREE
905,321,חברה,2,9,0,FREE
905,321,חברה,2,12,0,FREE
905,311,חברה,2,19,0,FREE
905,311,חברה,2,18,0,FREE
905,2,חברה,2,8,0,FREE
905,2,חברה,2,13,0,BUSY
905,317,חברה,2,10,0,FREE
905,317,חברה,2,15,0,BUSY
502,63,מ.ישראל,2,13,0,FREE
502,63,מ.ישראל,2,18,0,BUSY
212,214,טבע,2,18,0,FREE
212,214,טבע,2,13,0,FREE
211,21,nan,2,14,1,BUSY
211,21,nan,2,17,1,BUSY
211,17,nan,2,15,0,FREE
211,17,nan,2,11,0,FREE
505,7,מ.ישראל,2,12,1,BUSY
505,7,מ.ישראל,2,16,0,FREE
212,212,nan,2,11,0,FREE
212,212,nan,2,12,0,FREE
212,1,טבע,2,17,1,BUSY
212,1,טבע,2,12,0,BUSY
304,4,משפטים,2,17,0,FREE
304,4,משפטים,2,10,0,FREE
403,3,יהדות,2,8,0,FREE
403,3,יהדות,2,14,0,FREE
905,25,חברה,2,18,0,FREE
905,25,חברה,2,15,0,BUSY
212,310,טבע,2,16,1,BUSY
212,310,טבע,2,19,0,BUSY
212,1,nan,2,10,0,FREE
212,1,nan,2,13,0,FREE
212,3,טבע,2,9,0,FREE
212,3,טבע,2,17,0,BUSY
212,21,nan,2,19,0,FREE
212,21,nan,2,9,0,FREE
203,212,טבע,2,17,0,FREE
203,212,טבע,2,15,1,BUSY
304,69,משפטים,2,14,0,FREE
304,69,משפטים,2,8,0,FREE
305,11,משפטים,2,16,1,BUSY
305,11,משפטים,2,15,0,FREE
901,11,חברה,2,13,0,FREE
901,11,חברה,2,12,0,BUSY
211,3,nan,2,18,0,FREE
211,3,nan,2,8,0,FREE
213,61,טבע,2,15,0,BUSY
213,61,טבע,2,19,0,FREE
211,9,nan,2,17,0,FREE
211,9,nan,2,8,0,FREE
902,1,חברה,2,18,0,FREE
902,1,חברה,2,15,0,FREE
304,7,משפטים,2,15,0,FREE
304,7,משפטים,2,19,0,FREE
403,1,מינץ,2,12,0,FREE
403,1,מינץ,2,14,0,BUSY
211,7,nan,2,11,0,FREE
211,7,nan,2,16,0,FREE
501,11,מ.ישראל,2,17,0,FREE
501,11,מ.ישראל,2,19,0,FREE
507,11,מ.ישראל,2,19,0,FREE
507,11,מ.ישראל,2,15,0,FREE
1401,7,nan,2,9,0,FREE
1401,7,nan,2,19,0,FREE
211,63,nan,2,8,0,FREE
211,63,nan,2,10,0,BUSY
105,134,סטודנטים,2,19,0,BUSY
105,134,סטודנטים,2,14,0,FREE
305,3,משפטים,2,14,0,FREE
305,3,משפטים,2,8,0,BUSY
404,133,יהדות,2,15,0,FREE
404,133,יהדות,2,12,0,FREE
306,1,משפטים,2,8,0,FREE
306,1,משפטים,2,10,1,FREE
304,132,משפטים,2,12,0,FREE
304,132,משפטים,2,8,0,FREE
105,132,סטודנטים,2,11,0,BUSY
105,132,סטודנטים,2,12,0,FREE
404,134,יהדות,2,8,0,FREE
404,134,יהדות,2,19,0,FREE
404,65,יהדות,2,9,0,FREE
404,65,יהדות,2,14,0,BUSY
102,133,סטודנטים,2,15,0,BUSY
102,133,סטודנטים,2,17,0,FREE
305,104,משפטים,2,16,0,FREE
305,104,משפטים,2,11,0,BUSY
507,10,מ.ישראל,2,10,0,FREE
507,10,מ.ישראל,2,9,0,FREE
507,62,מ.ישראל,2,9,0,BUSY
507,62,מ.ישראל,2,13,0,FREE
604,309,מ.ישראל,2,12,1,BUSY
604,309,מ.ישראל,2,8,1,FREE
901,101,חברה,2,8,1,BUSY
901,101,חברה,2,19,0,FREE
901,102,חברה,2,11,0,FREE
901,102,חברה,2,15,0,FREE
301,202,פלדמן,2,13,0,FREE
301,202,פלדמן,2,19,0,FREE
905,104,חברה,2,16,0,FREE
905,104,חברה,2,17,0,FREE
507,107,מ.ישראל,3,12,1,BUSY
507,107,מ.ישראל,3,14,1,BUSY
905,61,חברה,3,9,1,BUSY
905,61,חברה,3,8,1,BUSY
1401,2,nan,3,8,0,FREE
1401,2,nan,3,19,0,FREE
402,63,יהדות,3,11,1,BUSY
402,63,יהדות,3,12,1,BUSY
203,221,טבע,3,16,1,BUSY
203,221,טבע,3,11,1,BUSY
1002,1,רוח,3,9,0,BUSY
1002,1,רוח,3,11,1,FREE
604,63,מ.ישראל,3,18,1,BUSY
604,63,מ.ישראל,3,13,1,BUSY
604,64,מ.ישראל,3,19,1,FREE
604,64,מ.ישראל,3,11,1,BUSY
604,105,מ.ישראל,3,10,1,BUSY
604,105,מ.ישראל,3,13,1,BUSY
403,211,יהדות,3,17,0,FREE
403,211,יהדות,3,8,0,FREE
604,102,מ.ישראל,3,12,0,FREE
604,102,מ.ישראל,3,18,1,BUSY
403,217,יהדות,3,19,0,FREE
403,217,יהדות,3,8,0,FREE
305,133,משפטים,3,12,1,FREE
305,133,משפטים,3,18,0,FREE
504,2,מ.ישראל,3,18,0,FREE
504,2,מ.ישראל,3,16,0,FREE
507,102,מ.ישראל,3,19,1,BUSY
507,102,מ.ישראל,3,9,1,BUSY
604,62,מ.ישראל,3,11,1,BUSY
604,62,מ.ישראל,3,14,1,BUSY
1002,405,רוח,3,12,0,FREE
1002,405,רוח,3,19,0,FREE
902,210,חברה,3,12,1,BUSY
902,210,חברה,3,16,1,BUSY
508,7,מ.ישראל,3,19,0,FREE
508,7,מ.ישראל,3,18,0,FREE
502,8,מ.ישראל,3,15,1,BUSY
502,8,מ.ישראל,3,14,1,BUSY
605,104,מ.ישראל,3,14,1,BUSY
605,104,מ.ישראל,3,16,1,BUSY
1002,61,רוח,3,13,0,BUSY
1002,61,רוח,3,8,1,BUSY
507,4,מ.ישראל,3,12,1,BUSY
507,4,מ.ישראל,3,18,1,BUSY
504,4,מ.ישראל,3,19,0,FREE
504,4,מ.ישראל,3,14,1,BUSY
1002,202,רוח,3,14,1,BUSY
1002,202,רוח,3,11,0,FREE
502,6,מ.ישראל,3,15,1,BUSY
502,6,מ.ישראל,3,9,0,BUSY
502,7,מ.ישראל,3,18,0,BUSY
502,7,מ.ישראל,3,9,1,BUSY
505,4,מ.ישראל,3,17,1,BUSY
505,4,מ.ישראל,3,8,0,FREE
502,9,מ.ישראל,3,11,1,BUSY
502,9,מ.ישראל,3,14,1,BUSY
1005,109,רוח,3,13,1,BUSY
1005,109,רוח,3,17,1,BUSY
902,103,חברה,3,10,1,BUSY
902,103,חברה,3,15,1,BUSY
502,37,מ.ישראל,3,15,0,FREE
502,37,מ.ישראל,3,16,0,FREE
902,201,חברה,3,9,0,FREE
902,201,חברה,3,10,1,BUSY
604,205,מ.ישראל,3,15,1,BUSY
604,205,מ.ישראל,3,14,1,BUSY
505,63,מ.ישראל,3,15,1,BUSY
505,63,מ.ישראל,3,10,0,FREE
504,5,מ.ישראל,3,17,1,BUSY
504,5,מ.ישראל,3,12,1,BUSY
305,5,משפטים,3,16,1,FREE
305,5,משפטים,3,8,0,FREE
605,14,מ.ישראל,3,11,1,BUSY
605,14,מ.ישראל,3,14,1,BUSY
505,105,מ.ישראל,3,14,1,BUSY
505,105,מ.ישראל,3,12,1,BUSY
502,24,מ.ישראל,3,9,0,FREE
502,24,מ.ישראל,3,14,1,BUSY
505,5,מ.ישראל,3,9,1,BUSY
505,5,מ.ישראל,3,17,1,BUSY
404,68,יהדות,3,13,1,BUSY
404,68,יהדות,3,16,1,BUSY
305,134,משפטים,3,13,1,BUSY
305,134,משפטים,3,12,1,BUSY
105,103,סטודנטים,3,13,1,BUSY
105,103,סטודנטים,3,18,1,BUSY
105,104,סטודנטים,3,17,0,BUSY
105,104,סטודנטים,3,18,0,BUSY
105,101,סטודנטים,3,10,1,BUSY
105,101,סטודנטים,3,13,1,BUSY
105,102,סטודנטים,3,11,0,FREE
105,102,סטודנטים,3,15,1,BUSY
105,1,סטודנטים,3,19,0,FREE
105,1,סטודנטים,3,15,1,FREE
304,3,משפטים,3,10,1,FREE
304,3,משפטים,3,9,1,BUSY
305,6,משפטים,3,19,0,BUSY
305,6,משפטים,3,8,0,FREE
105,61,סטודנטים,3,16,1,BUSY
105,61,סטודנטים,3,19,0,FREE
105,2,סטודנטים,3,19,0,FREE
105,2,סטודנטים,3,17,0,BUSY
304,2,משפטים,3,19,0,FREE
304,2,משפטים,3,14,0,BUSY
105,3,סטודנטים,3,16,1,FREE
105,3,סטודנטים,3,9,0,BUSY
605,101,מ.ישראל,3,18,1,BUSY
605,101,מ.ישראל,3,13,1,BUSY
605,102,מ.ישראל,3,19,1,BUSY
605,102,מ.ישראל,3,8,0,FREE
604,11,מ.ישראל,3,12,1,BUSY
604,11,מ.ישראל,3,15,1,BUSY
605,11,מ.ישראל,3,10,1,FREE
605,11,מ.ישראל,3,15,1,BUSY
604,12,מ.ישראל,3,13,1,BUSY
604,12,מ.ישראל,3,16,1,BUSY
504,6,מ.ישראל,3,15,0,FREE
504,6,מ.ישראל,3,8,0,FREE
605,202,מ.ישראל,3,13,0,FREE
605,202,מ.ישראל,3,14,0,BUSY
604,14,מ.ישראל,3,9,0,FREE
604,14,מ.ישראל,3,15,1,BUSY
507,101,מ.ישראל,3,16,0,BUSY
507,101,מ.ישראל,3,13,0,FREE
507,103,מ.ישראל,3,17,1,FREE
507,103,מ.ישראל,3,16,1,BUSY
504,7,מ.ישראל,3,14,0,FREE
504,7,מ.ישראל,3,13,0,FREE
604,13,מ.ישראל,3,16,1,BUSY
604,13,מ.ישראל,3,15,1,BUSY
505,1,מ.ישראל,3,10,0,FREE
505,1,מ.ישראל,3,15,1,BUSY
504,3,מ.ישראל,3,12,1,BUSY
504,3,מ.ישראל,3,18,0,BUSY
604,101,מ.ישראל,3,10,1,BUSY
604,101,מ.ישראל,3,16,1,FREE
507,201,מ.ישראל,3,19,1,FREE
507,201,מ.ישראל,3,18,1,BUSY
403,67,יהדות,3,18,0,FREE
403,67,יהדות,3,8,0,FREE
507,204,מ.ישראל,3,10,1,BUSY
507,204,מ.ישראל,3,9,1,BUSY
505,106,מ.ישראל,3,18,1,BUSY
505,106,מ.ישראל,3,8,0,FREE
505,62,מ.ישראל,3,9,0,BUSY
505,62,מ.ישראל,3,8,0,FREE
505,104,מ.ישראל,3,8,1,FREE
505,104,מ.ישראל,3,18,1,BUSY
605,13,מ.ישראל,3,8,0,FREE
605,13,מ.ישראל,3,12,1,BUSY
501,25,מ.ישראל,3,16,1,BUSY
501,25,מ.ישראל,3,19,0,FREE
505,201,מ.ישראל,3,13,0,FREE
505,201,מ.ישראל,3,17,0,FREE
505,3,מ.ישראל,3,18,1,FREE
505,3,מ.ישראל,3,15,1,FREE
507,207,מ.ישראל,3,17,1,BUSY
507,207,מ.ישראל,3,19,0,FREE
604,61,מ.ישראל,3,15,1,BUSY
604,61,מ.ישראל,3,8,0,FREE
507,2,מ.ישראל,3,10,1,FREE
507,2,מ.ישראל,3,8,1,FREE
505,101,מ.ישראל,3,8,0,FREE
505,101,מ.ישראל,3,19,0,FREE
905,417,חברה,3,18,1,BUSY
905,417,חברה,3,13,0,BUSY
504,1,מ.ישראל,3,18,1,BUSY
504,1,מ.ישראל,3,10,1,BUSY
605,201,מ.ישראל,3,17,1,BUSY
605,201,מ.ישראל,3,11,0,FREE
604,104,מ.ישראל,3,15,1,BUSY
604,104,מ.ישראל,3,8,0,BUSY
213,4,טבע,3,17,1,BUSY
213,4,טבע,3,19,0,FREE
105,4,סטודנטים,3,12,1,BUSY
105,4,סטודנטים,3,19,1,BUSY
102,2,סטודנטים,3,12,0,BUSY
102,2,סטודנטים,3,18,0,FREE
105,5,סטודנטים,3,13,1,BUSY
105,5,סטודנטים,3,17,0,FREE
105,105,סטודנטים,3,15,0,FREE
105,105,סטודנטים,3,12,0,BUSY
207,1,טבע,3,12,0,FREE
207,1,טבע,3,9,0,FREE
105,106,סטודנטים,3,17,1,BUSY
105,106,סטודנטים,3,8,0,BUSY
404,115,יהדות,3,8,1,BUSY
404,115,יהדות,3,16,1,FREE
403,101,יהדות,3,8,1,BUSY
403,101,יהדות,3,12,1,FREE
404,102,יהדות,3,17,1,BUSY
404,102,יהדות,3,8,0,FREE
105,6,סטודנטים,3,18,0,BUSY
105,6,סטודנטים,3,11,0,FREE
102,4,סטודנטים,3,19,0,FREE
102,4,סטודנטים,3,8,0,FREE
404,114,יהדות,3,14,1,BUSY
404,114,יהדות,3,8,1,BUSY
306,111,משפטים,3,17,1,BUSY
306,111,משפטים,3,10,1,BUSY
505,2,מ.ישראל,3,12,1,BUSY
505,2,מ.ישראל,3,17,1,BUSY
604,2,מ.ישראל,3,14,0,BUSY
604,2,מ.ישראל,3,18,0,FREE
605,61,מ.ישראל,3,12,0,BUSY
605,61,מ.ישראל,3,8,1,FREE
410,125,יהדות,3,8,0,FREE
410,125,יהדות,3,14,1,BUSY
410,46,יהדות,3,13,0,FREE
410,46,יהדות,3,12,0,FREE
403,66,יהדות,3,16,1,BUSY
403,66,יהדות,3,13,1,BUSY
502,26,מ.ישראל,3,9,0,FREE
502,26,מ.ישראל,3,14,1,BUSY
502,25,מ.ישראל,3,11,1,BUSY
502,25,מ.ישראל,3,12,1,BUSY
403,218,יהדות,3,12,1,BUSY
403,218,יהדות,3,16,0,BUSY
403,113,יהדות,3,11,1,FREE
403,113,יהדות,3,10,1,BUSY
410,142,יהדות,3,15,1,BUSY
410,142,יהדות,3,11,1,BUSY
505,61,מ.ישראל,3,8,0,FREE
505,61,מ.ישראל,3,16,0,FREE
505,11,מ.ישראל,3,8,1,BUSY
505,11,מ.ישראל,3,12,0,FREE
605,105,מ.ישראל,3,17,0,FREE
605,105,מ.ישראל,3,15,0,FREE
604,1,מ.ישראל,3,14,0,FREE
604,1,מ.ישראל,3,9,0,FREE
507,14,מ.ישראל,3,15,0,BUSY
507,14,מ.ישראל,3,16,0,FREE
605,4,מ.ישראל,3,18,0,BUSY
605,4,מ.ישראל,3,10,0,FREE
502,62,מ.ישראל,3,18,0,FREE
502,62,מ.ישראל,3,19,0,FREE
605,7,מ.ישראל,3,19,1,BUSY
605,7,מ.ישראל,3,18,1,BUSY
507,206,מ.ישראל,3,8,1,BUSY
507,206,מ.ישראל,3,13,1,FREE
504,206,מ.ישראל,3,16,1,BUSY
504,206,מ.ישראל,3,9,0,FREE
508,103,מ.ישראל,3,16,0,FREE
508,103,מ.ישראל,3,17,0,FREE
507,106,מ.ישראל,3,16,1,BUSY
507,106,מ.ישראל,3,17,1,BUSY
605,106,מ.ישראל,3,11,1,BUSY
605,106,מ.ישראל,3,14,0,FREE
507,108,מ.ישראל,3,13,0,FREE
507,108,מ.ישראל,3,16,0,BUSY
505,108,מ.ישראל,3,12,0,FREE
505,108,מ.ישראל,3,14,0,FREE
505,102,מ.ישראל,3,17,0,BUSY
505,102,מ.ישראל,3,13,1,BUSY
507,6,מ.ישראל,3,15,1,BUSY
507,6,מ.ישראל,3,18,1,BUSY
507,208,מ.ישראל,3,14,0,FREE
507,208,מ.ישראל,3,19,1,BUSY
507,205,מ.ישראל,3,8,1,BUSY
507,205,מ.ישראל,3,15,1,FREE
507,3,מ.ישראל,3,17,1,BUSY
507,3,מ.ישראל,3,16,1,FREE
505,103,מ.ישראל,3,17,1,BUSY
505,103,מ.ישראל,3,13,1,BUSY
507,209,מ.ישראל,3,19,0,FREE
507,209,מ.ישראל,3,17,1,BUSY
507,202,מ.ישראל,3,16,1,BUSY
507,202,מ.ישראל,3,13,1,BUSY
605,103,מ.ישראל,3,16,1,BUSY
605,103,מ.ישראל,3,8,1,BUSY
403,2,יהדות,3,19,0,FREE
403,2,יהדות,3,8,0,FREE
507,104,מ.ישראל,3,11,1,BUSY
507,104,מ.ישראל,3,9,1,BUSY
507,5,מ.ישראל,3,11,1,BUSY
507,5,מ.ישראל,3,15,1,BUSY
507,203,מ.ישראל,3,13,1,BUSY
507,203,מ.ישראל,3,17,1,FREE
305,132,משפטים,3,8,0,FREE
305,132,משפטים,3,13,0,FREE
902,101,חברה,3,15,1,BUSY
902,101,חברה,3,17,1,BUSY
902,104,חברה,3,12,1,BUSY
902,104,חברה,3,10,1,BUSY
1005,112,רוח,3,17,1,BUSY
1005,112,רוח,3,18,1,BUSY
605,65,מ.ישראל,3,13,1,BUSY
605,65,מ.ישראל,3,17,1,BUSY
905,116,חברה,3,16,1,BUSY
905,116,חברה,3,12,1,BUSY
203,226,טבע,3,13,1,BUSY
203,226,טבע,3,10,0,BUSY
902,202,חברה,3,14,1,BUSY
902,202,חברה,3,17,1,BUSY
902,102,חברה,3,12,1,BUSY
902,102,חברה,3,16,1,BUSY
1002,201,רוח,3,10,1,BUSY
1002,201,רוח,3,14,1,FREE
605,12,מ.ישראל,3,9,0,FREE
605,12,מ.ישראל,3,15,1,BUSY
502,30,מ.ישראל,3,12,0,BUSY
502,30,מ.ישראל,3,8,0,FREE
504,63,מ.ישראל,3,14,0,FREE
504,63,מ.ישראל,3,15,0,FREE
507,13,מ.ישראל,3,12,0,FREE
507,13,מ.ישראל,3,15,0,BUSY
507,105,מ.ישראל,3,13,1,FREE
507,105,מ.ישראל,3,17,1,BUSY
604,103,מ.ישראל,3,11,1,BUSY
604,103,מ.ישראל,3,17,1,FREE
410,26,יהדות,3,10,0,FREE
410,26,יהדות,3,16,0,FREE
410,6,יהדות,3,17,1,BUSY
410,6,יהדות,3,13,1,BUSY
404,66,יהדות,3,19,0,FREE
404,66,יהדות,3,17,0,BUSY
605,64,מ.ישראל,3,15,1,BUSY
605,64,מ.ישראל,3,16,1,BUSY
505,64,מ.ישראל,3,12,1,BUSY
505,64,מ.ישראל,3,16,1,FREE
403,115,יהדות,3,11,1,BUSY
403,115,יהדות,3,17,0,FREE
404,67,יהדות,3,17,0,FREE
404,67,יהדות,3,15,0,FREE
1005,111,רוח,3,16,1,BUSY
1005,111,רוח,3,17,1,BUSY
1004,305,רוח,3,13,0,FREE
1004,305,רוח,3,17,1,FREE
404,101,יהדות,3,18,1,BUSY
404,101,יהדות,3,9,1,BUSY
1002,305,רוח,3,15,1,FREE
1002,305,רוח,3,19,0,BUSY
504,208,מ.ישראל,3,17,0,BUSY
504,208,מ.ישראל,3,19,0,FREE
211,112,טבע,3,10,1,BUSY
211,112,טבע,3,14,1,BUSY
305,63,משפטים,3,19,0,FREE
305,63,משפטים,3,15,0,FREE
306,112,משפטים,3,19,0,FREE
306,112,משפטים,3,18,0,FREE
211,106,טבע,3,19,0,FREE
211,106,טבע,3,15,0,FREE
207,201,טבע,3,12,0,FREE
207,201,טבע,3,17,0,BUSY
305,101,משפטים,3,18,0,FREE
305,101,משפטים,3,16,0,BUSY
403,61,יהדות,3,11,0,FREE
403,61,יהדות,3,8,0,BUSY
202,202,טבע,3,18,0,FREE
202,202,טבע,3,12,1,BUSY
203,106,טבע,3,10,0,FREE
203,106,טבע,3,12,0,FREE
203,112,טבע,3,14,0,BUSY
203,112,טבע,3,11,0,BUSY
105,112,סטודנטים,3,19,0,FREE
105,112,סטודנטים,3,11,0,BUSY
207,6,טבע,3,16,1,BUSY
207,6,טבע,3,12,1,BUSY
207,4,טבע,3,15,1,BUSY
207,4,טבע,3,16,1,BUSY
207,101,טבע,3,9,1,BUSY
207,101,טבע,3,17,0,FREE
604,6,מ.ישראל,3,14,0,BUSY
604,6,מ.ישראל,3,15,0,FREE
211,22,nan,3,19,0,FREE
211,22,nan,3,16,0,FREE
211,4,טבע,3,11,0,BUSY
211,4,טבע,3,9,0,FREE
507,7,מ.ישראל,3,15,1,BUSY
507,7,מ.ישראל,3,14,0,BUSY
1401,3,nan,3,17,0,FREE
1401,3,nan,3,8,0,FREE
905,63,חברה,3,11,1,BUSY
905,63,חברה,3,8,0,FREE
901,61,חברה,3,15,1,BUSY
901,61,חברה,3,10,1,BUSY
403,69,מינץ,3,14,1,BUSY
403,69,מינץ,3,19,0,FREE
1401,63,nan,3,14,0,FREE
1401,63,nan,3,18,0,FREE
1401,1,nan,3,15,0,FREE
1401,1,nan,3,19,0,BUSY
507,1,מ.ישראל,3,19,1,BUSY
507,1,מ.ישראל,3,16,1,FREE
